,precision,recall,f1-score,support
NORMAL,0.9054054054054054,0.8589743589743589,0.881578947368421,234.0
PNEUMONIA,0.917910447761194,0.9461538461538461,0.9318181818181818,390.0
accuracy,0.9134615384615384,0.9134615384615384,0.9134615384615384,0.9134615384615384
macro avg,0.9116579265832997,0.9025641025641025,0.9066985645933014,624.0
weighted avg,0.9132210568777733,0.9134615384615384,0.9129784688995215,624.0
